Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time,"Exp Type"
UNH,329.6233,Put,500,2026-01-16T16:30:00-06:00,18,"167.35 x 89","174.40 x 95",171.65,700,mid,12015500,2890,176,85.90%,-0.9845308978,SLFT,N/A,"15:26:32 ET",M
META,659.86,Put,760,2026-01-16T16:30:00-06:00,18,"98.65 x 34","103.30 x 43",101.14,1180,mid,11934500,2440,168,41.03%,-0.9399498336,MFSL,N/A,"15:23:16 ET",M
MSTR,156.98,Put,400,2026-01-16T16:30:00-06:00,18,"242.35 x 5","243.65 x 5",242.35,480,bid,11632800,510,105,190.39%,-0.9822982745,MLFT,SellToOpen,"15:17:13 ET",M
MSTR,156.98,Put,370,2026-01-16T16:30:00-06:00,18,"212.40 x 11","213.40 x 8",212.4,540,bid,11469600,880,202,0.00%,0,MLFT,N/A,"15:17:13 ET",M
AAPL,273.84,Put,290,2026-01-02T16:30:00-06:00,4,"15.90 x 212","16.45 x 142",16.3,7000,mid,11410000,12026,1651,33.11%,-0.9519019968,MLFT,ToOpen,"15:29:09 ET",W
META,659.56,Put,800,2026-01-16T16:30:00-06:00,18,"139.25 x 51","143.10 x 55",139.53,817,mid,11399600,817,109,50.45%,-0.9583957024,MLFT,ToOpen,"15:15:59 ET",M
COIN,234.63,Put,360,2026-01-16T16:30:00-06:00,18,"121.50 x 139","129.60 x 147",126.05,900,mid,11344500,2670,191,107.97%,-0.9556247234,SLFT,N/A,"15:28:49 ET",M
MSTR,157.1875,Put,310,2026-01-16T16:30:00-06:00,18,"152.20 x 10","153.60 x 5",152.89,740,mid,11313800,1312,161,135.81%,-0.9881823465,MFSL,ToOpen,"15:23:53 ET",M
LULU,212.67,Put,350,2026-01-16T16:30:00-06:00,18,"135.05 x 34","140.20 x 37",135.06,830,mid,11209900,1770,355,112.54%,-0.9735602381,MLFT,N/A,"15:15:54 ET",M
TSLA,462.7517,Call,900,2028-01-21T16:30:00-06:00,753,"71.00 x 40","71.50 x 42",71.29,1551,mid,11057000,2060,6080,59.00%,0.39085644318886,MLET,N/A,"10:10:14 ET",M
TGT,98.125,Put,145,2026-01-16T16:30:00-06:00,18,"45.10 x 201","47.90 x 183",46.55,2350,mid,10939200,3930,617,97.90%,-0.9535934691,SLFT,ToOpen,"15:28:36 ET",M
